Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDA14,OUT013,2466.3406
DRC24,OUT035,2593.778
FDW21,OUT018,1639.7468
NCH29,OUT046,1805.3575
FDU58,OUT013,2709.7039
FDY27,OUT017,2245.9036
FDV56,OUT035,1560.4098
FDT59,OUT046,4154.9106
FDB23,OUT046,3752.121
FDR49,OUT045,820.477
FDB03,OUT010,676.04956
FDN39,OUT045,2701.7195
FDX02,OUT027,6517.9297
FDQ16,OUT027,2541.3337
FDU35,OUT018,1371.8967
NCT29,OUT013,2135.822
FDZ27,OUT046,749.7653
FDN57,OUT017,2169.363
FDA03,OUT018,2209.4429
FDZ36,OUT045,3287.8796
NCU05,OUT013,1272.6561
FDT39,OUT018,2042.3666
FDK60,OUT017,1542.7734
FDZ25,OUT017,2958.3462
FDG12,OUT046,2062.584
DRB01,OUT019,285.2362
NCC43,OUT027,5336.8857
FDX13,OUT019,-147.17923
FDM22,OUT049,888.92737
FDJ03,OUT027,1125.6497
FDU14,OUT018,3593.3267
FDB33,OUT010,499.47903
FDP27,OUT046,3123.6985
FDO38,OUT010,198.26842
FDE28,OUT027,5974.5747
FDO27,OUT035,1576.8186
DRL23,OUT027,2745.4082
FDS28,OUT046,916.9967
FDX24,OUT013,1482.3413
FDZ02,OUT035,1618.6718
FDL46,OUT045,1685.4697
FDS60,OUT027,5351.5586
NCO06,OUT017,676.6997
FDO16,OUT035,1674.5604
FDC60,OUT049,1601.8655
FDA48,OUT018,3378.8765
FDZ36,OUT027,5051.4976
FDK27,OUT045,1973.9878
FDW23,OUT018,472.71954
FDM14,OUT018,1552.4221
FDM14,OUT013,1717.8853
FDW60,OUT018,2695.254
FDE21,OUT013,1916.8704
NCM42,OUT035,1845.1578
FDY59,OUT010,94.428
DRI49,OUT049,1322.7533
FDT28,OUT019,69.627594
FDQ22,OUT018,587.9716
FDR60,OUT049,1282.268
FDC50,OUT019,173.63391
FDV24,OUT013,2398.1904
DRF48,OUT010,567.7079
FDQ47,OUT046,625.7118
DRN36,OUT049,1572.065
NCY06,OUT035,2208.517
FDE52,OUT035,1482.423
NCB54,OUT045,1945.3335
NCF31,OUT035,2372.1775
FDJ08,OUT027,4901.338
NCC07,OUT017,1715.3809
NCD19,OUT027,1873.9294
FDL46,OUT049,1993.8276
FDM20,OUT045,4362.73
NCI06,OUT010,847.12286
DRM11,OUT035,4326.0166
NCH07,OUT018,2405.6787
FDS23,OUT013,2233.318
FDO49,OUT018,616.50446
FDS35,OUT049,1047.8755
DRK39,OUT045,1291.1445
DRI39,OUT049,1090.1525
FDV04,OUT017,2115.244
NCN14,OUT035,3373.5862
FDH08,OUT013,4627.1396
FDS20,OUT046,3269.288
FDV40,OUT049,1214.1243
FDZ48,OUT010,297.96765
FDS24,OUT027,2297.396
FDK44,OUT049,2259.55
FDS48,OUT045,2548.2593
FDK26,OUT010,1128.7823
FDD23,OUT045,2915.4822
NCH54,OUT017,2606.475
NCP14,OUT010,152.66959
FDM60,OUT010,74.70443
FDV24,OUT017,2404.9443
FDH08,OUT018,3314.2026
FDS12,OUT027,3085.5723
FDR39,OUT027,5036.618
FDP12,OUT027,940.992
DRF60,OUT027,5363.231
FDC09,OUT035,1790.5802
FDF50,OUT018,3044.599
FDG28,OUT035,3299.0388
NCE19,OUT017,941.1976
NCM53,OUT010,267.05035
NCN18,OUT049,2459.4768
FDF32,OUT035,3554.5518
FDF11,OUT013,3864.6528
DRI59,OUT049,3796.7349
NCG54,OUT035,2854.3572
FDM44,OUT046,1700.4382
FDT57,OUT018,3247.7354
FDV24,OUT046,2380.7437
FDI50,OUT019,700.4285
FDS09,OUT035,798.05414
NCC31,OUT027,4226.4136
FDQ07,OUT019,706.9936
FDC22,OUT017,2965.4878
FDZ56,OUT046,2969.0989
FDZ40,OUT019,107.262505
FDS46,OUT027,2827.2844
DRD24,OUT045,2031.0793
FDV45,OUT017,3075.381
FDL26,OUT045,2458.5354
FDA56,OUT018,1830.975
FDN27,OUT046,1818.3569
FDM20,OUT049,4462.1353
FDO16,OUT017,1619.3351
FDL03,OUT035,3092.9468
FDE58,OUT046,1872.2566
FDI02,OUT027,2990.4365
NCC55,OUT019,29.376226
FDR03,OUT018,2936.7046
FDB14,OUT017,1479.8369
FDR45,OUT013,5594.809
NCN07,OUT017,2198.0173
FDM51,OUT019,238.40567
FDT52,OUT027,5042.1514
FDL26,OUT046,2474.982
NCZ42,OUT046,4116.842
DRI47,OUT019,278.45187
FDW40,OUT013,2270.708
FDN34,OUT046,3490.7556
FDS01,OUT035,2769.8906
NCG55,OUT045,1826.9352
FDC11,OUT035,1197.5269
FDX35,OUT018,3128.9927
NCB06,OUT046,2582.2744
FDR09,OUT019,-161.33163
FDC53,OUT017,1589.5345
FDY45,OUT013,3887.7751
FDA22,OUT010,390.59412
FDE02,OUT035,1576.8186
FDW21,OUT045,1752.0768
FDV34,OUT046,1232.7227
FDS59,OUT049,1772.4629
NCW17,OUT017,2181.9458
NCK54,OUT046,1899.4233
FDG17,OUT019,-167.8967
FDG35,OUT017,2999.9678
FDD08,OUT010,81.23437
NCO07,OUT017,3752.0627
FDJ10,OUT010,420.95984
FDW36,OUT017,1724.6392
FDW21,OUT010,257.36688
FDY19,OUT017,1950.4114
DRE03,OUT013,723.2046
NCC55,OUT049,687.96265
FDH52,OUT010,167.34361
FDO09,OUT017,5085.2197
FDU43,OUT045,3631.1384
FDX09,OUT010,441.55774
FDH40,OUT019,211.87204
FDW58,OUT017,1568.0731
FDC47,OUT017,4153.431
NCR41,OUT035,1608.7145
DRG49,OUT035,5307.765
FDC52,OUT027,4200.325
FDY13,OUT046,1232.7227
FDY35,OUT013,671.1217
FDI35,OUT017,3318.9458
NCU18,OUT049,2270.708
FDY33,OUT018,3597.9768
FDC15,OUT027,4126.0312
FDU01,OUT049,3074.6892
NCU42,OUT046,3167.0989
NCV29,OUT018,2646.9634
NCY30,OUT017,3280.9868
FDQ46,OUT049,1781.5691
FDG58,OUT027,3716.167
FDK33,OUT017,3723.3313
NCD07,OUT045,1826.9352
NCX29,OUT027,3716.167
NCT42,OUT013,2436.2358
DRN59,OUT035,865.9955
FDI44,OUT035,1291.4615
FDA45,OUT049,2401.431
FDP31,OUT045,933.5865
FDY01,OUT046,1899.4233
FDT09,OUT018,1830.975
DRH03,OUT027,2481.4258
FDA36,OUT018,2742.278
NCF31,OUT017,2306.2363
FDG14,OUT049,3017.88
FDG28,OUT027,5072.9517
FDU14,OUT049,4071.1123
FDY47,OUT019,120.96543
FDI56,OUT049,1435.8162
DRD01,OUT013,839.5174
FDM22,OUT046,916.9967
FDH33,OUT013,671.1217
DRZ24,OUT013,2020.9944
NCQ38,OUT046,1664.3928
FDO16,OUT027,2501.4705
FDU07,OUT027,4037.2012
NCB07,OUT013,2986.2769
FDU48,OUT045,1662.2607
NCM43,OUT045,2667.817
FDR31,OUT010,250.83366
DRK49,OUT018,511.16647
NCI30,OUT010,616.3952
DRD60,OUT017,3005.9277
NCG19,OUT046,3324.9585
FDH12,OUT035,1722.6389
FDM32,OUT035,1545.778
FDM27,OUT035,2497.1824
NCU53,OUT027,4277.85
NCQ18,OUT046,1655.447
FDS10,OUT013,2844.3054
FDB33,OUT027,4467.0605
FDI12,OUT013,1351.1259
NCW42,OUT013,3475.9797
NCC06,OUT018,2397.356
FDW02,OUT017,2554.6667
NCD43,OUT017,1735.3549
FDM57,OUT018,1193.8336
FDA58,OUT017,2370.0637
FDK56,OUT046,3123.6985
FDP52,OUT045,4302.3193
FDW20,OUT018,1743.446
FDS52,OUT049,1717.8853
NCT29,OUT018,1486.2234
NCL54,OUT013,2789.8455
FDC05,OUT045,2915.4822
FDF34,OUT035,3153.6636
FDP03,OUT027,3280.8767
FDD32,OUT010,199.6381
FDZ10,OUT045,2035.0575
FDZ40,OUT035,1007.1387
FDD51,OUT018,485.07825
NCY30,OUT019,390.12537
FDP58,OUT017,3408.2095
FDV49,OUT017,4672.4194
FDY24,OUT019,77.89062
NCO55,OUT017,1724.6392
FDR13,OUT017,1923.6243
FDS51,OUT017,981.5305
FDP26,OUT045,1662.9316
NCB54,OUT027,3280.8767
FDF32,OUT017,3153.4941
FDN31,OUT018,2947.103
DRM48,OUT017,692.5045
FDN20,OUT049,2856.482
DRL01,OUT046,3613.1309
FDV56,OUT049,1433.1372
DRH13,OUT027,2745.4082
FDA03,OUT017,2499.8816
FDF47,OUT027,5612.836
FDX32,OUT046,2474.982
FDX57,OUT049,1536.0195
NCA30,OUT045,2946.9534
FDO49,OUT013,776.4596
FDL04,OUT019,146.17522
DRM48,OUT035,690.5043
FDR16,OUT013,4721.205
NCC19,OUT018,2891.3115
NCE42,OUT045,4257.3457
FDY24,OUT017,717.4958
FDH19,OUT049,2783.1475
FDJ46,OUT013,2789.8455
FDN45,OUT010,-13.176327
FDY08,OUT035,2140.5757
FDZ37,OUT035,1423.8208
NCT30,OUT045,759.4073
DRY23,OUT018,511.16647
NCZ30,OUT018,1746.5293
FDC44,OUT018,1589.0632
FDB45,OUT035,1623.2985
FDY04,OUT013,2539.9631
FDM27,OUT046,2684.2634
FDZ43,OUT017,3833.6658
FDT39,OUT019,663.3462
NCC06,OUT019,838.0647
FDL15,OUT027,4037.2012
FDL57,OUT017,4515.3936
FDU08,OUT046,1554.6179
FDK40,OUT017,4581.9287
FDQ12,OUT010,767.05945
FDS48,OUT017,2527.837
FDP09,OUT045,3177.2798
FDW21,OUT049,1797.021
FDY25,OUT035,4431.6973
DRE13,OUT017,1357.8798
FDV43,OUT019,35.906174
FDD22,OUT045,1691.6339
FDM46,OUT019,158.54129
NCO30,OUT010,513.0207
FDM25,OUT046,2832.1567
NCN41,OUT049,2135.822
FDU24,OUT045,1509.5178
FDZ50,OUT046,3097.6104
FDP45,OUT013,3599.8552
NCM54,OUT045,1945.3335
FDW10,OUT019,405.77267
FDP20,OUT017,2163.0237
FDK32,OUT046,2474.982
FDN52,OUT049,1351.1259
FDM58,OUT045,1966.6528
FDZ46,OUT027,2812.4207
NCA18,OUT018,1589.0632
FDD35,OUT046,2147.0295
NCK31,OUT035,865.9955
FDI40,OUT027,2704.4858
FDT50,OUT019,124.81838
NCT06,OUT046,2610.9287
FDT31,OUT035,3112.5073
FDT45,OUT049,888.92737
FDT13,OUT045,2944.1365
FDO50,OUT045,1365.8776
NCU18,OUT010,345.73398
NCR54,OUT049,3073.202
NCO18,OUT018,2392.567
FDU09,OUT045,1061.5837
FDT13,OUT018,2865.171
FDE09,OUT046,1764.1221
NCK53,OUT019,255.26562
FDG45,OUT049,4392.008
DRH15,OUT035,666.62805
FDO21,OUT019,1354.9656
FDD14,OUT027,5716.7144
FDC09,OUT046,1700.4382
FDH45,OUT027,940.992
FDV32,OUT046,1030.4285
FDG12,OUT035,2093.6887
FDS32,OUT013,2164.4763
NCL55,OUT018,3682.081
DRE01,OUT035,3863.5994
DRE15,OUT049,1296.6652
NCL42,OUT045,5033.6226
FDP31,OUT013,925.78284
FDN33,OUT018,1181.3439
FDZ59,OUT046,2919.3318
FDE45,OUT010,1230.1542
FDJ07,OUT013,2020.9944
FDQ45,OUT018,2865.171
FDM33,OUT027,5703.464
FDO15,OUT010,184.90147
FDM46,OUT013,1482.3413
FDR03,OUT045,3322.552
FDY49,OUT018,2425.1177
FDQ60,OUT045,1830.505
FDW10,OUT049,2728.696
FDO51,OUT049,687.96265
FDJ40,OUT018,1471.4656
FDS20,OUT018,3092.6924
FDU45,OUT013,1916.8704
FDV02,OUT035,2828.267
FDN09,OUT046,3720.0142
NCM55,OUT027,5281.7725
FDN23,OUT018,2152.9526
FDY31,OUT010,276.6377
FDW03,OUT010,303.95728
FDD14,OUT046,2693.5232
FDV23,OUT017,2142.576
DRI03,OUT045,2968.5647
FDN13,OUT035,1519.295
FDF45,OUT027,1725.249
FDU46,OUT035,1423.8208
FDB57,OUT049,3645.7793
FDV12,OUT049,1679.7095
FDQ58,OUT013,2521.083
NCA18,OUT017,1923.6243
FDH52,OUT049,974.7767
FDM24,OUT018,2152.9526
NCP43,OUT027,5351.5586
NCO18,OUT019,351.4803
FDM32,OUT017,1433.3118
NCL07,OUT017,694.7165
FDK03,OUT013,4584.415
FDP59,OUT017,1557.3574
FDQ24,OUT049,4306.6763
FDQ16,OUT018,1498.2527
FDU44,OUT013,2539.9631
FDH28,OUT010,89.45733
FDV28,OUT019,29.376226
FDM22,OUT045,900.5505
FDR56,OUT046,3691.1243
FDV39,OUT049,3169.7996
FDU37,OUT019,139.87218
FDQ11,OUT010,459.537
FDX02,OUT045,4359.354
NCS42,OUT018,1181.3439
FDY57,OUT027,2507.514
FDB21,OUT049,3735.5918
FDE28,OUT017,3940.7532
FDQ55,OUT017,1934.34
FDA48,OUT049,3552.972
FDZ19,OUT045,2759.919
NCC43,OUT045,3120.3835
NCV18,OUT046,1605.6602
NCA42,OUT018,2397.081
FDY45,OUT046,3961.6487
NCC30,OUT045,2905.1597
FDM57,OUT013,1351.1259
FDL09,OUT010,376.36023
FDB09,OUT027,3461.4211
FDT44,OUT035,2025.748
NCT06,OUT027,4277.85
FDX26,OUT049,3047.1138
FDK32,OUT013,2492.4287
DRA12,OUT046,2281.9155
FDO46,OUT010,556.0601
FDE52,OUT013,1325.0377
NCH42,OUT045,3846.0142
FDV08,OUT035,760.6576
FDB47,OUT018,2900.5312
FDC28,OUT010,295.92926
FDD22,OUT046,1899.4233
FDS07,OUT027,3202.6953
DRI13,OUT045,3322.552
FDG32,OUT018,3289.98
FDU14,OUT017,4195.179
FDD28,OUT019,107.262505
NCP41,OUT017,1753.8871
FDS08,OUT049,2568.104
FDX47,OUT045,2510.0366
FDC53,OUT019,414.79898
FDQ19,OUT035,4913.556
FDL14,OUT045,2487.1897
FDM33,OUT019,706.9936
FDA51,OUT045,1861.9167
FDZ27,OUT018,528.88617
FDT04,OUT046,670.5156
DRC13,OUT049,2164.4763
FDR16,OUT027,7059.1035
FDQ03,OUT027,4846.9355
FDE38,OUT035,2866.5073
DRH23,OUT027,1795.1719
FDT11,OUT019,659.1783
FDD09,OUT035,3145.2034
FDR40,OUT045,1378.3024
FDX07,OUT017,3135.3972
FDR07,OUT035,1501.5741
FDA51,OUT017,1897.5361
FDT59,OUT019,992.50256
FDF20,OUT017,3176.5535
FDR13,OUT045,1826.9352
FDY26,OUT049,4759.2354
FDW04,OUT017,2142.576
FDK52,OUT017,3710.3015
FDN60,OUT049,2599.7212
FDM09,OUT019,140.30917
FDP46,OUT049,1351.1259
FDB50,OUT019,179.1589
NCQ29,OUT049,3151.6086
FDP16,OUT027,5042.1514
FDX33,OUT018,2405.6787
FDP07,OUT010,-635.4993
FDN22,OUT046,3814.507
FDF39,OUT049,4464.619
FDS21,OUT017,1008.31757
NCM42,OUT013,1717.8853
FDK50,OUT019,100.78452
DRF13,OUT027,4226.4136
FDH35,OUT018,2432.4658
FDP60,OUT018,1371.8967
DRJ49,OUT027,3470.0874
NCT42,OUT019,112.243965
FDE38,OUT049,2650.1465
FDI04,OUT049,3141.1453
NCH54,OUT045,2565.828
FDT56,OUT049,934.4437
DRD15,OUT018,2961.0151
FDV58,OUT013,2583.7354
FDP21,OUT049,3169.7996
FDH05,OUT013,3759.24
FDR10,OUT027,4467.0605
NCP06,OUT045,2231.4082
FDF33,OUT049,1549.007
DRK37,OUT013,4158.724
DRH49,OUT045,1315.0902
FDT58,OUT013,2528.2026
FDD41,OUT018,1416.888
FDP40,OUT018,1692.0085
FDM51,OUT027,2745.4082
FDO45,OUT010,232.38875
FDW33,OUT010,222.41295
FDY24,OUT045,1007.94446
FDB10,OUT010,592.76105
FDM40,OUT035,2275.4617
NCI06,OUT017,3398.9517
FDW12,OUT019,74.7584
FDX48,OUT027,4037.2012
NCW05,OUT027,3251.6895
FDX27,OUT017,1543.4724
DRM37,OUT045,4044.5999
FDA38,OUT045,3267.4875
FDR36,OUT046,670.5156
FDZ45,OUT046,3335.561
FDG05,OUT017,2606.475
FDK28,OUT013,5136.9595
FDV47,OUT045,1281.1873
FDN21,OUT045,2538.661
FDP20,OUT027,2972.1458
FDI35,OUT045,3086.5288
DRY23,OUT013,713.71356
FDA56,OUT017,2181.9458
FDB09,OUT013,1918.2935
NCO26,OUT027,2990.4365
FDQ49,OUT018,2095.541
FDI52,OUT027,3085.5723
FDZ44,OUT027,3039.5432
FDZ09,OUT018,2405.6787
FDY03,OUT049,1916.8704
NCG42,OUT017,2198.0173
DRI13,OUT027,6034.271
FDQ32,OUT013,2135.822
FDW16,OUT035,1472.4657
FDU27,OUT046,748.6867
FDR28,OUT010,378.20383
FDQ49,OUT010,388.60385
FDS37,OUT046,1899.4233
FDW26,OUT018,2992.5488
FDX12,OUT018,3180.025
NCP06,OUT013,2379.6
FDW45,OUT010,384.61368
NCN30,OUT049,1536.0195
FDN24,OUT049,888.92737
NCL41,OUT027,1026.5077
FDR02,OUT019,189.19534
FDD09,OUT010,564.06287
FDS33,OUT010,169.20119
FDU22,OUT045,2174.4692
FDI53,OUT013,2309.28
DRH01,OUT049,2781.6602
FDX32,OUT013,2270.708
NCP30,OUT018,537.9536
FDB60,OUT045,2944.1365
FDB14,OUT049,1419.1292
NCP02,OUT035,1007.1387
FDJ10,OUT017,2219.5208
FDG34,OUT046,1764.1221
NCB18,OUT017,1351.1913
FDM16,OUT049,1250.1697
FDW25,OUT018,1444.5732
FDB35,OUT010,219.39815
DRN11,OUT013,2270.708
FDF41,OUT019,-1152.4218
FDH16,OUT045,1317.2327
NCQ50,OUT018,3540.7954
DRH23,OUT018,763.90125
DRJ37,OUT013,2492.4287
DRJ24,OUT027,5281.7725
FDY16,OUT035,3227.9966
FDQ27,OUT045,1752.0768
FDZ33,OUT045,2458.5354
FDF29,OUT045,1973.9878
FDA08,OUT049,2599.7212
FDG31,OUT046,1030.4285
FDE34,OUT019,596.713
NCR30,OUT027,1948.4602
FDV33,OUT035,3674.5432
DRZ24,OUT018,1830.975
NCL54,OUT035,2854.3572
FDR12,OUT049,2525.6514
NCC54,OUT046,3718.145
DRN59,OUT013,776.4596
FDX50,OUT019,215.05066
FDV31,OUT027,5036.618
NCA29,OUT027,4896.6875
FDW60,OUT049,2999.8828
FDX08,OUT017,3322.143
DRD49,OUT013,3735.5918
FDD33,OUT046,3491.55
FDW35,OUT013,671.1217
FDJ36,OUT017,1724.6392
FDV51,OUT035,2739.3438
FDW36,OUT046,1700.4382
FDH35,OUT046,2555.1074
NCS30,OUT027,3085.5723
FDN49,OUT017,694.7165
FDL08,OUT018,3261.957
FDI09,OUT013,3583.5593
FDP19,OUT018,1802.3207
FDU21,OUT010,89.45733
NCP41,OUT045,1591.9047
FDY10,OUT013,1916.8704
FDP12,OUT018,466.36237
NCN26,OUT049,1916.8704
FDK44,OUT013,2199.792
FDC28,OUT049,1772.4629
FDJ41,OUT027,6071.261
NCT29,OUT035,2208.517
NCH42,OUT019,659.9737
FDU60,OUT018,2731.8872
FDS02,OUT045,3015.9756
FDC51,OUT046,2120.9414
FDU03,OUT013,2643.4102
FDX39,OUT045,3293.8977
NCY05,OUT010,95.987274
NCL06,OUT027,5099.9346
FDD32,OUT035,1291.4615
NCN41,OUT045,1945.3335
NCX53,OUT049,2272.1953
FDU57,OUT019,69.627594
FDQ23,OUT046,1700.4382
FDQ52,OUT045,4521.281
FDC14,OUT045,654.0694
FDY09,OUT035,3024.2874
FDQ28,OUT045,2458.5354
FDV25,OUT046,4995.016
FDJ07,OUT035,1989.5653
DRB25,OUT049,1717.8853
FDK52,OUT019,706.9936
FDY52,OUT027,1826.7985
FDB28,OUT046,3041.819
FDT36,OUT035,647.9124
FDV25,OUT017,3881.9402
NCN07,OUT027,3470.0874
FDC57,OUT017,3106.743
FDQ03,OUT018,2986.3477
FDU23,OUT017,2814.6804
NCX41,OUT035,3558.8662
NCD06,OUT035,798.05414
FDW08,OUT045,1689.0198
NCU29,OUT017,2527.837
NCE06,OUT013,2180.3608
FDV52,OUT010,250.48662
FDB02,OUT017,2958.3462
NCR18,OUT045,654.0694
FDK16,OUT049,1572.065
NCQ29,OUT010,615.67206
FDZ01,OUT019,414.79898
FDW27,OUT035,2510.2366
FDD17,OUT018,3290.6113
FDW39,OUT013,2734.0542
DRH59,OUT045,1216.2765
FDS52,OUT013,1717.8853
FDU40,OUT027,5703.464
NCF54,OUT013,2721.902
FDH46,OUT045,1627.9501
NCP14,OUT049,2011.4703
FDH50,OUT049,3169.7996
DRF15,OUT010,283.85162
FDV27,OUT027,2297.396
NCJ06,OUT049,2137.3093
FDN02,OUT018,3018.6367
FDQ51,OUT049,793.30054
FDQ07,OUT017,3559.7258
FDS45,OUT049,1842.012
NCJ06,OUT045,1946.821
FDD36,OUT035,1989.5653
FDY25,OUT045,4005.2932
FDU52,OUT046,2474.982
DRK47,OUT017,3774.8345
NCL30,OUT017,2147.912
FDN22,OUT035,3982.1333
NCF30,OUT027,3085.5723
FDK03,OUT035,4774.982
FDT45,OUT017,941.1976
NCC54,OUT027,5042.1514
FDP08,OUT018,2905.9468
FDU44,OUT046,2582.2744
DRG39,OUT035,935.5341
FDU32,OUT049,2164.4763
FDY27,OUT049,2120.8916
NCP54,OUT013,2164.4763
NCZ41,OUT049,2108.655
DRL49,OUT013,1617.9504
FDI05,OUT018,997.95154
FDY56,OUT045,4156.148
DRC13,OUT013,2164.4763
NCV29,OUT017,3079.2622
FDR24,OUT049,1399.7708
FDZ34,OUT018,4859.504
FDP37,OUT035,2140.5757
FDX08,OUT027,5493.1553
FDS57,OUT045,2136.2605
NCG18,OUT049,1717.8853
FDK25,OUT018,3230.8557
FDH53,OUT049,1259.5411
DRI59,OUT018,3172.022
FDA52,OUT046,2832.1567
FDT20,OUT010,81.23437
FDE36,OUT019,1085.1372
FDI24,OUT017,3392.6562
FDB28,OUT018,2889.6558
FDV11,OUT017,2566.7542
FDP01,OUT046,2045.5986
FDD34,OUT027,4467.0605
FDJ50,OUT027,1355.8124
FDZ44,OUT013,2020.9944
DRO59,OUT035,1322.8646
DRB48,OUT045,696.66125
FDR21,OUT018,2614.4048
NCE42,OUT010,1056.8217
FDO23,OUT046,1428.8489
NCE30,OUT018,1866.7462
FDQ22,OUT035,715.85376
FDY01,OUT045,1888.0049
FDS08,OUT017,2762.1191
FDG28,OUT018,2538.1353
FDQ51,OUT018,554.97437
FDB05,OUT017,2726.0515
FDO56,OUT049,1916.8704
FDE02,OUT018,1181.3439
FDN45,OUT017,2893.4397
FDS09,OUT013,776.4596
NCA54,OUT018,2737.188
FDP09,OUT010,495.1824
FDC53,OUT045,1639.0009
NCM55,OUT017,3147.8992
FDL09,OUT018,2305.9937
FDA11,OUT019,255.2352
FDA50,OUT045,1476.0382
FDC23,OUT017,3208.4126
FDE22,OUT049,2701.7102
FDD23,OUT046,3123.6985
NCA29,OUT049,2951.5923
FDK38,OUT046,2419.1907
DRC13,OUT046,2147.0295
NCP43,OUT049,3004.565
FDX28,OUT049,1672.894
FDF08,OUT049,1435.8162
FDZ33,OUT046,2474.982
FDD10,OUT049,2152.3926
FDO58,OUT017,2661.9165
FDI50,OUT017,4060.7275
FDO58,OUT045,2567.3152
FDX08,OUT013,3012.7502
NCK17,OUT010,81.23437
FDF39,OUT035,4814.4497
FDU45,OUT010,372.71304
NCJ18,OUT018,1589.0632
DRC27,OUT019,-173.2674
DRC25,OUT035,1385.3738
FDU59,OUT035,2510.2366
FDU28,OUT035,2639.5605
NCP30,OUT046,643.3488
FDB39,OUT018,737.81305
FDE41,OUT013,1351.1259
DRH11,OUT010,109.964775
FDA58,OUT045,2263.9043
FDU50,OUT046,1834.8882
FDM34,OUT013,2108.655
FDM44,OUT027,2683.796
FDR39,OUT045,2706.0732
FDM25,OUT045,2815.7102
FDQ49,OUT049,2190.3645
DRH25,OUT018,729.51154
FDM09,OUT027,4234.75
FDL44,OUT019,736.641
NCR42,OUT018,466.36237
DRL59,OUT046,871.48035
FDX43,OUT013,2695.6072
DRK47,OUT010,545.2243
FDU48,OUT018,1573.2018
FDY12,OUT045,820.477
NCN43,OUT018,1830.975
NCM55,OUT018,2947.103
FDQ21,OUT027,3280.8767
FDX13,OUT035,4381.808
NCK30,OUT027,5099.9346
FDG20,OUT049,2321.1228
DRG27,OUT017,668.6283
FDY14,OUT018,4508.1025
FDP59,OUT035,1623.2985
FDU60,OUT017,3189.0537
NCC18,OUT019,254.94199
DRJ39,OUT017,3555.668
FDS07,OUT049,1916.8704
FDM08,OUT027,5703.464
FDP51,OUT045,1945.3335
FDU16,OUT035,1414.5625
FDH12,OUT013,1717.8853
DRE48,OUT010,942.646
NCL42,OUT027,6429.5107
FDR21,OUT045,2720.5999
NCW29,OUT035,2237.1714
FDO11,OUT013,4097.2007
NCM31,OUT049,2214.9167
FDV35,OUT019,69.627594
FDF58,OUT017,992.24615
NCE43,OUT049,2849.6035
FDA02,OUT035,1982.3801
DRL37,OUT010,84.71322
FDR24,OUT018,1181.3439
FDW59,OUT049,1351.1259
FDS22,OUT049,687.96265
FDW24,OUT017,800.0544
FDU24,OUT035,1576.8186
FDA21,OUT027,4945.921
FDH58,OUT027,2827.2844
FDW36,OUT018,1416.888
FDI45,OUT027,4707.477
FDU01,OUT018,2934.601
FDF35,OUT027,2704.4858
